DatabaseParent,DatabaseName,DatabaseDesc,TableName,TableList_Description,FieldName,FieldList_Description
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_CHL_Left,Central hearing loss left 1-9
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_CHL_Right,Central hearing loss right 1-9
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_MHL_Left,Mixed hearing loss left 1-9
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_MHL_Right,Mixed hearing loss right 1-9
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Middle_Ear_left,1/0 -- Yes/No hearing loss in middle left ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Middle_Ear_Right,1/0 -- Yes/No hearing loss in middle right ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Pure_Tone_Average_Left_Air,Average value for threshold of recognition of tone in left ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Pure_Tone_Average_Left_Bone,Average value for threshold of recognition of tone in left ear bone
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Pure_Tone_Average_Right_Air,Average value for threshold of recognition of tone in right ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Pure_Tone_Average_Right_Bone,Average value for threshold of recognition of tone in right ear bone
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_SNHL_Left,Sensory neural hearing loss left 1-9
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_SNHL_Right,Sensory neural hearing loss right 1-9
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Speech_Rec_Threshold_Air_Left,Numeric value for speech recognition threshold in left ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Speech_Rec_Threshold_Air_Right,Numeric value for speech recognition threshold in right ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Word_Recognition_Left,Word recognition % correct left ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Word_Recognition_Left_db,Decibal at which tested left ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Word_Recognition_Right,Word recognition % correct right ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Audiogram,Audiology Audiogram,Audiology_Audiogram_Word_Recognition_Right_db,Decibal at which tested right ear
Audiology,Audiology,Results of hearing tests and surveys,Audiology_QuickSIN,Audiology QuickSIN,Audiology_QuickSIN_Reg,Regular administration of the QuickSIN numeric
Audiology,Audiology,Results of hearing tests and surveys,Audiology_QuickSIN,Audiology QuickSIN,Audiology_QuickSIN_Rev,Reverse administration of the QuickSIN numeric
Audiology,Audiology,Results of hearing tests and surveys,Audiology_QuickSIN,Audiology QuickSIN,Audiology_QuickSIN_Rev_Fast,Fast administration of the QuickSIN numeric
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Aural_Fullness,Audiology - Aural Fullness
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Balance,Audiology - Balance
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Blast_Exposure,Audiology - Blast Exposure
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Comments,Audiology - Comments
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Dizziness,Audiology - Dizziness
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Hearing_Aid,Audiology - Hearing Aid
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Hearing_Difficulties_speech,Audiology - Hearing Difficulties - speech
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_L_Hearing_loss,Audiology - Hearing Loss (left)
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_L_Tinnitus,Audiology - Tinnitus (left)
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_NIHL,Audiology - Noise Induced Hearing Loss
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Noise_Exposure,Audiology - Noise Exposure
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Normal_hearing,Audiology - Normal Hearing
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Otalgia,Audiology - Otalgia
Audiology,Audiology,Results of hearing tests and surveys,Audiology_Symptom,Audiology Symptom,Audiology_Symptom_Otorrhea,Audiology - Otorrhea
